"State	",District,Sub-District (Tehsil),nitrogen,phosphorus,potassium,temperature,humidity,soil_ph,rainfall,soc,cec,sand,silt,clay,soil_moisture,water_holding
Punjab ,Amritsar,Ajnala,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,26.63333333,7.766666667,56.5,21.56666667,21.93333333,,29.23333333
Punjab ,Amritsar,Amritsar- I,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,4.3,3.3,69.9,13.05,17.05,,7.25
Punjab ,Amritsar,Amritsar- II,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,4.4,3.4,77.8,7.3,14.9,,9.1
Punjab ,Amritsar,Baba Bakala,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,70.1,34.35,77.05,20.95,2,,
Punjab ,Amritsar,Majitha,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,,10.65,55.4,31.7,12.9,,29.35
Punjab ,,,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,22.93333333,21.8,16.46666667,34.86666667,48.66666667,,33.23333333
Punjab ,,,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,71,42.75,31.15,60.7,8.15,,
Punjab ,,,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,10.8,9.25,59.15,7.75,33.1,,17
Punjab ,,,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,6.75,7.05,64.15,6.5,29.35,,
Punjab ,,,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,27.3,27.8,8.55,23.3,68.15,,41.4
Punjab ,,,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,18,16.05,20.7,33.3,46,,40.2
Punjab ,,,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,5.1,4.65,62.2,18.65,19.15,,10.8
Punjab ,,,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,6.525,3.15,64.1,16.7,19.2,,
Punjab ,,,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,2.2,1.7,83.5,8.166666667,8.333333333,,5.6
Punjab ,,,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,14.4,7.5,64.6,10.3,25.1,,16.2
Punjab ,,,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,265.15,112.25,,,,,
Punjab ,,,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,15.2,9.15,49.6,6.65,43.75,,
Punjab ,,,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,8.366666667,82.2,3.333333333,30.46666667,66.2,,46.5
Punjab ,,,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,4.2,2,82.55,9.8,7.65,,5.5
Punjab ,,,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,7.366666667,9.133333333,8.266666667,52.7,39,,22.8
Punjab ,,,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,8,9.95,16.6,23.7,59.7,,28.2
Punjab ,,,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,18.5,8.1,59.96666667,19.43333333,20.6,,17.15
Punjab ,,,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,,18.2,51.3,22.3,26.4,,
Punjab ,,,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,5.2,17,5.233333333,71.7,23.06666667,,21.15
Punjab ,,,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,3.22,11.24,51.84,31.3,16.86,,12.36666667
,,,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,3.033333333,2.833333333,76.13333333,16.46666667,7.4,,5.166666667
,,,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,1.866666667,10.1,65.66666667,17.3,17.03333333,,16.4
,,,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,9.7,14.35,62.45,15.25,22.3,,19.1
,,,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,,7.8,78.9,13.93333333,7.166666667,,19.9
,,,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,14.63333333,7.633333333,17.16666667,53.5,29.33333333,,22.8
,,,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,10.85,18.5,30.4,44.8,24.8,,21
,,,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,,8.25,83.95,9.6,6.45,,7.9
,,,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,12.86666667,20.56666667,7.266666667,38.3,54.43333333,,41.96666667
,,,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,5.3,10.85,40.1,45.1,14.8,,14.55
,,,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,4.1,11.9,70.06666667,9.333333333,20.6,,12.4
,,,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,7.65,18.95,14.75,47.6,37.65,,24.2
,,,99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,76.53333333,38.43333333,24.75,51.4,23.85,,
,,,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,15.8,10.42,21.14,57.88,20.98,,
,,,60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,16.2,54.7,15.2,53.46666667,31.33333333,,35.7
,,,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,23.1,25.76666667,7.8,56.66666667,35.53333333,,34.65
,,,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,3.35,8.7,19.9,62.05,18.05,,18.1
,,,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,4.266666667,3.433333333,5.066666667,82.33333333,12.6,,21.93333333
,,,83,60,36,25.59704938,80.14509262,6.903985986,200.834898,93.25,31.15,42.4,27.05,30.55,,68
,,,82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,3.95,31.8,23.45,45.9,30.65,,24.9
,,,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,9.1,29.9,38.3,39.15,22.55,,25.25
,,,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,12.15,21.35,26.4,20.15,53.45,,
,,,76,49,42,24.958779,84.47963372,5.206373153,196.9560008,47.17142857,20.81428571,44.62857143,47.22857143,8.142857143,,
,,,74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,6.233333333,24.33333333,58.53333333,26.06666667,15.4,,
,,,79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,6.533333333,8.7,57.03333333,33.03333333,9.933333333,,16.03333333
,,,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,27.85,23.4,6.95,26.15,66.9,,64.75
,,,60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,49.65,18.95,29.55,12.95,57.5,,36.7
,,,76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,52.45,18.6,56,38.75,5.25,,48.45
,,,93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,28.15,18.6,37.95,44.95,17.1,,50.5
,,,65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,8.433333333,20.8,42.8,32.6,24.6,,33.9
,,,95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,,2.566666667,95.4,2.933333333,1.666666667,,1.3
,,,75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,7.5,14.95,26.6,44.9,28.5,,
,,,74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,5.55,3.05,89.95,6.1,3.95,,
,,,91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,10,4.5,89.9,5.8,4.3,,
,,,71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,26.6,20.4,8.8,75.8,15.4,,
,,,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,11.95,7.325,33.1,56.625,10.275,,14.95
,,,72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,33.025,14.05,8.875,82.475,8.65,,23.4
,,,83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,42.2,22.56666667,11.53333333,63.83333333,24.63333333,,23.4
,,,93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,21.23333333,20.56666667,9.033333333,64.5,26.46666667,,25.46666667
,,,70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,11.6,16.04,39.66,36.02,24.32,,22.95
,,,76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,6.45,1.9,87.55,8.2,4.25,,8.8
,,,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,42.075,16.35,47.53333333,48.16666667,4.3,,
,,,99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,13.8,,39.4,40.15,20.45,,
,,,86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,9.8,22.1,18.7,52.13333333,29.16666667,,25.45
,,,69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,9.733333333,14.83333333,69.03333333,13,17.96666667,,18.66666667
,,,91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,,23.41666667,8.116666667,39.65,52.23333333,,
,,,61,52,41,24.97669518,83.891805,6.880431223,204.8001847,,10.75,28.8,59.2,12,,
,,,67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,,40.65,13.95,47.75,38.3,,
,,,79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,,55,15.25,34.6,50.15,,
,,,78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,,25.1,82.1,15.63333333,2.266666667,,
,,,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,,46.16666667,65.56666667,23.2,11.23333333,,52.1
,,,97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,,18.1,3.5,58.1,38.4,,
,,,67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,,15.13333333,52.23333333,32.86666667,14.9,,
,,,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,,19.15,25.45,43.6,30.95,,
,,,77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,,11.55,33.7,33.9,32.4,,41.65
,,,81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,,11.53333333,83.8,11.66666667,4.533333333,,
,,,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,,11.13333333,81.03333333,14.83333333,4.133333333,,
,,,72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,,47.16666667,12.8,36.2,51,,34.26666667
